Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.19114661,-41.09865025,-5.708269453,8.012920544,8.538542212,6.63186556,4.188979575,8.322090806,4.412252849,7.153578185,10.83797617,14.22429285,14.77383628,11.16164945,14.59145586,13.97648864,14.53610037,7.651455058,-13.54579168,2.824481883,5.319018352,7.735370834,3.764129648,4.010645933,3.606369078,0.646135943,8.024397049,5.769882149,8.2086495,-6.704049318,6.354744401,13.02541852,
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.376760783,0.958704603,0.238921013,-3.394752379,2.67197034,-1.800450002,-3.257941095,1.245264257,0.992450746,-3.231910641,-1.21950184,3.279021642,4.854442301,0.113644342,-5.135339886,4.874061125,1.831713966,6.970688208,1.759928333,3.486017106,
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,4.03962554,7.611353493,7.694707614,3.516597441,-0.321429721,5.078891653,10.24252673,8.163412201,12.07273088,7.221195293,5.823352673,5.824549585,3.512719107,1.685236976,-0.445128902,3.4008518,4.707692263,-6.21372328,4.46620012,3.368633335,2.777121573,1.952957112,4.457311286,-6.000792503,-0.255113806,4.880932309,4.606741223,5.236709085,11.27865894,7.821253426,-1.497593577,-13.29886801,-9.089174819,-3.12748111,0.345898657,-0.448561994,1.364997457,0.649980301,3.383651477,1.839235757,6.361375194,2.550901433,-19.35925206,7.54757506,8.880996614,
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.463633536,-1.148044395,4.198738265,4.901567019,3.92365469,0.067792435,4.971635652,3.255988297,4.827990488,5.084898568,0.543866969,2.017676081,1.062413745,1.505210107,0.096451786,1.565327314,2.434522462,-0.273097836,2.932065551,1.787375155,1.738447832,1.549259279,-3.553415511,3.34354998,3.885415916,2.472690106,1.01423834,4.037694717,2.134910486,2.057392355,-1.643571088,-0.690436666,3.12373821,2.983092289,2.73260145,2.610797814,2.794868491,3.625218476,3.88493233,2.738944295,0.723531157,2.80352716,1.911738676,3.115893443,1.906065238,1.377980034,1.896708392,1.531111868,-0.185773153,0.648500068,0.995812002,2.119926068,0.855301403,1.088300782,0.741438844,1.186265851,0.647495219,1.378345353,0.682490945,-1.556436301,1.968061646,2.985396455,
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.960717183,2.021469667,3.471466159,5.419336014,2.810012786,4.904479004,2.241009758,3.931241829,5.909495926,5.950496618,4.646942731,5.592381531,4.310905781,3.765373032,-0.099030082,4.763369869,5.039647613,-0.129830488,5.536447933,1.731377792,-0.398620518,1.938121505,3.13962808,0.057573093,2.450565671,2.236402355,1.293045279,3.149746508,3.420101785,3.553547647,2.413986454,0.97609224,-0.298754361,2.008761944,2.510912694,2.211434933,1.977975908,3.467829941,3.355044661,3.12743665,0.880259098,1.152676331,0.450946527,2.099711169,1.549877317,2.943417859,3.391730827,1.143307119,-4.016340042,1.592577128,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.89246914,1.550724086,1.92771306,1.000406953,-7.019825952,3.784719697,3.808956062,
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.012383104,-23.76120216,-24.25686416,-20.77555855,-12.81342944,0.28021389,4.784282352,8.960886763,6.461584076,10.19102927,9.051822038,8.625351066,9.376460364,8.301538479,26.66009477,33.03048777,23.59068541,8.457450126,7.050602519,3.806491021,-1.195842962,0.816684128,4.450020099,1.475936941,-0.103121365,-4.17717168,-0.778416126,0.624486168,1.635850481,-4.952701739,5.151500069,4.575199371,
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-15.8701576,6.36524614,1.990095806,3.291863681,1.135990958,2.148048239,11.00195769,-2.614791149,-3.532314832,18.77954909,0.330633087,-6.328783605,7.120848924,-3.129500277,-1.697838278,5.641818047,8.729453857,-3.686737537,-0.743761011,-3.116110978,7.719722199,-3.451393023,0.989196177,-2.238831128,9.393995728,1.331646653,3.1290065,2.758384458,-0.571550672,1.42189607,2.913068415,-1.597561735,-3.069248456,-4.36690134,-13.29592729,-7.964692393,-1.479610111,2.815176025,-3.329950483,-2.86056588,-0.439187877,1.568534631,-4.274588198,1.010882046,-2.764880494,1.706713839,-0.277700517,0.637154646,-1.327694607,0.318221818,0.41151196,0.824080966,1.263599334,0.810602801,-5.980495612,-2.20613383,-1.772646486,-1.377139622,-1.457193034,-2.50846117,0.381166641,-0.824628691,
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.630257134,4.794034518,3.574353541,5.949139356,2.624444661,2.461462453,3.291575742,3.785044364,6.328283647,5.478790451,3.79648857,4.88408824,6.047488699,4.236777496,-2.248829646,5.464140019,0.501978717,2.74598979,2.249127516,4.329008275,-0.276653455,0.62232907,0.319812264,2.467921562,1.621518975,1.786469656,2.219478116,4.39079501,3.093999126,2.830267975,1.455371726,1.11956586,-1.34799971,2.909318769,2.170550274,1.123669018,3.542789064,1.744323895,3.305706514,3.465452571,0.75248291,1.251984606,0.61587978,3.123928918,1.760455594,1.8781832,2.918338349,-0.343452718,-2.80592074,1.928764196,0.38003457,0.116402578,-0.013148386,1.128595725,1.451893368,0.755268919,1.228866236,1.330652227,1.689753689,-5.668223544,6.412098665,2.131765745,
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,1.567326573,-4.993676617,2.952292991,4.762979389,3.36090141,1.614799973,-0.879979557,1.785008812,0.794771018,-0.005256119,-3.568023486,4.132663276,1.425605247,1.026157544,-7.074781783,-1.495413472,2.434154265,-1.263765676,3.810781027,3.953561799,6.951778616,-0.609693402,-7.033840201,4.87416509,4.452942663,-0.788228017,-4.386547403,0.348282456,-5.742503605,5.712445594,1.082571177,-0.14985962,1.228883488,-1.720724529,3.885942391,1.678298827,2.702447716,0.84800005,2.169593733,2.689647379,2.207364924,1.548959248,0.372024802,1.316512038,-1.467813821,0.811410157,2.982053319,1.849625069,-0.648436891,-0.839355824,-0.007428192,1.800064493,4.127606235,3.290504999,-1.181684836,0.335852248,2.603556527,3.624262545,3.824506878,0.951937861,4.238708959,3.420679455,
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.552273052,4.584353889,-2.733075016,0.722415694,2.118573214,-1.089843815,7.03057027,1.33130746,0.294221708,-1.594259073,-0.294598743,0.593348565,-1.292782802,6.299980301,0.979790815,6.26161822,-1.926009085,2.044067922,1.020612249,-1.864124866,1.463499881,6.598062604,-2.443634765,-4.570083431,5.420509778,4.948095392,-2.923144419,3.002567428,-0.508371835,-3.173227944,6.348168294,-2.205514145,0.921974042,-1.206820025,3.041040495,8.214114979,3.622726386,4.398136185,4.299232007,-1.106850828,3.420372815,1.193156955,4.507163311,1.250803724,5.293432973,2.986692134,1.001302627,2.731085634,-0.012474271,5.305144555,3.502706594,3.273591496,2.657295331,1.263996385,0.877785605,2.893498327,3.203256836,3.693513328,2.672448001,-0.78196057,4.140834795,-0.792008255,
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.019801659,2.338669316,-3.405413917,7.668926369,-1.391020978,-0.437251747,-4.781817458,6.25388242,-1.65479154,3.00061464,-6.632846648,-15.17765876,0.714228599,6.88326498,-6.338391778,3.337678291,0.363427679,4.571541474,2.369812015,-1.609286099,4.464474801,-0.634262574,1.039844812,2.014701336,0.730590409,1.721851265,1.481432356,0.223515735,0.674980729,3.400369596,1.500470719,3.519728548,2.729706135,1.9167073,3.177185503,2.706249817,2.638487151,3.222149859,2.684717105,3.305900935,3.100436692,1.92168942,2.926134543,3.50574324,4.930968203,5.388330721,5.939181512,5.076730246,4.124685812,4.373484664,5.174520877,5.204991119,4.678721918,4.747779227,5.291060808,5.803210397,5.26645987,6.080232975,6.687654398,2.271109279,5.716649087,5.954844841,
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.551144229,2.032294164,3.172520882,3.154807366,2.684953395,4.235241268,5.898612494,10.82009085,-2.151690705,-7.463207654,-7.534068849,-6.271263865,-0.691213558,2.164358868,3.321186766,5.749369999,-13.59092265,4.484024951,-7.881074518,5.105057144,5.911159906,8.195214831,6.074062359,7.317404814,7.865502313,7.616849851,7.441488603,6.87712688,-2.722415576,2.226078677,2.746910765,1.334066,0.015418847,1.524868111,4.059411408,3.751778785,3.499175549,3.439130063,4.770081953,-3.387987666,8.542609992,10.55971654,
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-9.038253124,-10.76844038,2.761484804,1.385525437,-8.081834962,-2.372826542,6.525762553,3.287046313,-3.048395983,0.992712757,7.49120497,3.023473723,9.076230444,-3.52857225,0.593021768,0.848609082,-0.048396791,1.69827355,1.339020825,2.442157461,-0.14972112,0.8533771,2.208243364,-0.103815979,-1.336449595,-1.105353022,1.055400516,-0.434970499,-3.468434461,1.394890732,2.115445699,2.638951394,2.347595883,0.413894139,-1.352381521,0.06723301,0.913957633,0.016786109,1.698724144,-3.565598605,3.666329656,4.222105997,
"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.405126233,5.127225789,5.246125139,5.608079921,5.802707709,4.4055418,4.835840026,3.66500901,4.383165726,-9.012213021,-1.297178496,-5.918306557,5.132387065,-18.52381258,-16.53929731,3.033976045,6.85397272,11.79945257,23.60416185,4.436312215,-10.90046583,4.759101621,1.66642452,12.00291653,2.796405764,-0.179242552,1.045033564,0.410835213,4.700864057,-3.481588741,-6.048806367,-5.843050922,-1.847235778,1.102406563,2.442430954,2.38503348,-0.422739559,2.981357284,5.513551244,2.628879213,1.190106235,1.359344878,-2.574033796,-0.469922706,1.994396654,1.103829252,0.027364579,-3.704543642,-5.545403081,0.120061239,-0.63214852,1.977161859,-3.766502542,0.936026399,0.079104883,-1.5847359,1.742036663,2.179272839,-1.39407345,-23.86828825,16.57294285,13.78853566,
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18015808,81.35516538,29.74152353,13.70910001,8.598349351,12.05488255,2.042863604,4.940438543,4.230918332,7.374875475,5.129516204,6.354630872,7.183286711,7.168092787,-1.362529167,2.62997049,2.792141415,1.034339285,3.957296129,2.47075228,5.698303515,4.527613112,4.473386407,5.045838146,4.09411575,-1.778703887,8.949991429,5.310900319,
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.245567076,-9.798383703,-7.803770018,-11.59557505,-10.10885284,3.146686043,11.86395225,8.889364429,3.866378733,6.299636368,5.263892187,5.716082436,7.794917865,12.21261827,10.14976724,10.67558671,9.099460042,10.58130503,0.446705735,8.034088147,5.625881241,1.846520265,1.042243344,1.669105162,-3.957343643,-2.611299318,2.644247088,3.37043437,1.651118196,-0.251386576,3.290821506,-3.927909222,
Belize,BLZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.258698707,2.241655825,2.117593133,1.997584087,1.86183459,1.645035812,1.759448485,4.17496151,2.15277401,2.415160105,2.113202622,8.488183008,3.839808994,12.01930585,1.86549858,-2.033774928,4.375780649,5.784653639,5.32609203,10.84956914,-1.334680696,-2.496725483,-4.428238587,-0.369728067,-1.28356216,2.191569446,8.281355909,7.378017598,10.55671961,7.139931442,9.456950345,10.46311949,4.018156472,-2.155980315,-1.812017956,-1.922456442,0.741037916,0.294527001,5.743670657,8.658248234,1.737535587,2.151710006,6.337442083,1.650275625,-0.7875041,1.487551716,0.36189855,-4.275932527,-3.1440316,-1.254067768,-2.546735303,1.348535826,2.126119256,1.748010161,1.063864853,-2.036875814,-3.747261339,-0.894543697,2.353207273,-15.00434857,16.35687175,7.328153287,
Bermuda,BMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.149274724,2.003969956,-1.260754717,8.383374234,2.250778443,12.34545455,11.0966736,0.178748759,1.520936741,4.37934159,4.195283883,2.564073979,2.238205024,1.632827387,4.551271532,8.529004076,5.500816286,1.074229338,1.768239125,6.226141897,1.674235544,-5.966959638,1.131648138,-0.396562991,-2.821585921,5.766965249,2.912453111,3.168090119,-0.399432874,-0.798461538,-3.035881339,0.666851964,2.457765924,-0.095697515,3.654763146,1.946947479,3.963724659,3.139627286,2.805721748,8.348324206,6.071369138,-2.116731681,2.736271274,1.655071335,1.018079897,4.940272519,2.763815335,-2.444780256,-6.148629405,-1.736363236,-2.907850829,-5.647262748,-0.591137895,-3.903606108,0.622598427,0.3938692,4.716102205,-0.5028993,0.317253011,-6.811709487,3.222222158,3.302972204,
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.006128822,3.409601074,4.589285698,1.796105713,2.720118301,4.9131592,4.059722795,6.205674927,2.218637942,2.945554813,2.764669005,5.59054938,3.40007594,0.649968718,4.925063968,2.289045727,2.631401583,-0.220741448,-2.084218351,-3.533238559,-1.894807976,-5.993135352,-6.072428329,-2.296700007,-3.735115386,-4.610740654,0.318505713,0.752142046,1.623456369,2.467411575,3.105994961,-0.408970621,2.195240038,2.637063079,2.705928464,2.429446093,3.042141914,3.136997548,-1.383429233,0.675361125,-0.099986843,0.706590426,0.933272881,2.377208378,2.627411949,2.981967715,2.75018668,4.328171136,1.601456455,2.375335576,3.453673773,3.39719644,5.069795424,3.783187059,3.220538823,2.663074214,2.623303336,2.684797339,0.737697155,-9.952404845,4.852474916,2.37979822,
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.374303544,3.482729076,-2.315871662,0.449644185,-0.456900052,3.810395918,1.465603109,7.001720507,6.772837836,7.685540345,8.641356195,9.254398627,11.25050803,5.606682803,2.715858847,7.695060336,2.490663546,2.518506258,4.272242164,6.662997479,-6.452870866,-1.450934075,-5.088346394,3.108082048,5.567836511,5.288389972,1.478596667,-1.978044868,1.243611572,-6.065555669,-0.700696276,-2.179979806,3.242563272,4.182955815,2.608090006,0.656502163,1.855343025,-1.124442426,-0.948845923,2.970910781,0.059648944,1.760242779,-0.051285666,4.561781957,2.055571501,2.847962008,4.98082992,4.061722166,-1.073238333,6.522816179,3.013396273,1.007654033,2.114256452,-0.354514802,-4.358317179,-4.057423002,0.523296589,0.978938493,0.448280407,-3.918004172,4.435352819,2.42870176,
Barbados,BRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,-2.391909427,3.826978435,3.100878314,4.31455167,7.326464445,3.862261409,-2.32692083,-5.257315368,0.163121005,3.288701952,0.850502846,4.917446798,2.478322959,3.462182037,3.601201118,-3.348307001,-4.097736643,-5.986085477,0.490683001,1.731308336,1.784148274,3.782604152,4.568602084,3.564005148,0.134115254,4.254994513,-2.630358564,0.379644847,1.77670843,1.031642701,3.580491633,5.673773095,1.695963427,0.212784988,-5.436444012,-2.599475975,-1.027370737,-0.562380295,-1.537346394,-0.227439338,2.208565274,2.326724771,0.269025425,-1.049283021,0.087534271,-12.89747053,-0.961728957,11.16177908,
Brunei Darussalam,BRN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,-3.000551647,16.21655343,7.342598985,3.372118331,18.6723813,-9.951293919,-22.3785608,0.572610113,-2.836750063,-2.754827235,-4.789040983,-5.973315365,-1.379702463,-2.200972031,-4.228006455,-2.039423774,0.114170788,1.905263673,-2.266164915,0.593746994,1.976921959,0.49313578,-3.679156013,-2.713190453,0.88016699,0.730069451,0.687036971,1.864685729,0.990882746,-1.284601231,-1.3250511,2.692052121,-1.416167647,-3.423745709,-3.209963091,1.111479826,2.336315197,-0.359754944,-3.330844835,-3.667518932,-1.522384232,-3.521143982,0.320205439,-0.868860057,2.974226152,0.291718917,-2.396821563,-2.423407703,
Bhutan,BTN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,11.52768585,0.267815094,7.081517523,1.413943761,0.944785891,8.128880274,25.3197208,1.791989212,4.365363757,7.569785613,-2.033740668,8.771178133,6.902424404,4.866537368,5.800275948,3.609396628,3.568167575,3.960161884,5.36526756,0.500693009,5.470289332,8.156908908,5.176425964,3.502987055,5.130903788,5.420472436,16.91019932,3.565242325,5.533319776,10.70222196,6.799598004,3.979385564,1.035010357,4.703729522,5.649806271,7.191508662,3.771571241,2.690394433,5.01613201,-10.80496599,3.752521391,,
Botswana,BWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.003501515,4.275542293,3.487743864,4.318025261,4.201472512,5.626247146,5.216593957,9.820903691,14.32247731,16.03122107,23.34379311,21.83219727,15.64725606,3.398092908,3.029226615,5.09006102,6.384287621,8.622043754,6.612578106,6.608397372,4.163000029,7.751094989,9.124415032,4.748067813,3.406051458,4.452477207,8.114089373,15.57545418,9.550464735,3.604755604,4.414555356,0.011375016,-0.98101181,0.78266012,4.250703953,3.252230017,5.838418563,-1.761220848,7.342426783,-0.104457891,-1.73773223,4.107829816,2.80852064,0.925705688,2.693878237,6.347004907,3.73406781,1.176918832,-15.89055769,7.875871132,4.717165863,-2.070174126,9.005663889,3.679522612,-6.700302342,5.051373153,1.971944389,2.081346124,1.04167164,-10.40263091,10.05423154,4.103826341,
Central African Republic,CAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.073628195,-5.489663793,-2.591561405,0.081195653,-1.09831775,-1.46961391,2.399258518,-0.87505202,4.640777068,0.063976895,-0.971128274,-1.969123886,-0.073388582,4.278075387,-1.556665495,3.867095417,2.755827766,0.186473125,-3.459611626,-5.465263729,-2.582419102,6.553564446,-9.137708622,8.247836064,2.724866186,2.352986702,-6.100649492,0.116285559,-0.526163893,-5.112200333,-3.600803372,-9.354066288,-2.828887557,1.652169655,4.29285448,-6.47928499,2.410459241,1.855412677,0.757392208,-5.182200264,2.138855273,1.352775362,-7.657345914,3.720591047,-1.338182594,2.684667344,2.665865061,-0.03993708,6.272393967,2.485984851,2.610234803,4.145158394,-36.77769716,0.158111559,3.891158828,2.938099239,2.590923501,1.792220305,0.833009811,-1.624775579,-1.129093806,-1.695404959,
Canada,CAN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,1.121346226,5.445858236,3.405212917,4.650755482,4.409518317,4.735675775,1.25281683,3.315250035,3.626733255,10.09435057,0.996931859,4.301830896,5.431703761,1.924903895,0.074186199,4.505104264,2.330265254,2.708452157,2.703695673,0.867987042,2.147380544,-4.311284411,1.553432722,4.9035542,3.784974232,1.111381035,2.709173981,3.065761293,0.517573801,-1.296441323,-3.300300011,-0.296709502,1.535745723,3.355814381,1.625281336,0.631530864,3.248974882,3.034237679,4.289836599,4.1639485,0.774366748,1.885260119,0.89285348,2.134963975,2.240254569,1.60617816,1.063658767,-0.092379646,-4.01725707,1.95092544,2.132716371,0.656757628,1.250339659,1.844422503,-0.09842322,-0.099104469,1.805305676,1.301965104,0.45534653,-6.052473747,4.682852408,1.943999576,
